id,english,telugu
317,I want you to wash the dishes.,నేను మీరు వంటలు కడగాలి.
318,I need guidance.,నాకు మార్గదర్శకత్వం అవసరం.
319,How many did you want?,మీకు ఎన్ని కావాలి?
320,I'm going to tell you this just once.,నేను మీకు ఒక్కసారి చెప్పబోతున్నాను.
321,I'll go get changed.,నేను మారిపోతాను.
322,I don't need anyone.,నాకు ఎవరూ అవసరం లేదు.
323,I'll definitely do that sometime.,నేను ఖచ్చితంగా ఎప్పుడైనా చేస్తాను.
324,I think I need a rest.,నాకు విశ్రాంతి అవసరమని అనుకుంటున్నాను.
325,I know that this is none of my business.,ఇది నా వ్యాపారం కాదని నాకు తెలుసు.
326,I want you to die.,మీరు చనిపోవాలని నేను కోరుకుంటున్నాను.
327,"I've visited many countries, but I like Japan best of all.","నేను చాలా దేశాలను సందర్శించాను, కాని నాకు జపాన్ అంటే చాలా ఇష్టం."
328,I want bread and jam.,నాకు బ్రెడ్ మరియు జామ్ కావాలి.
329,I didn't want to know.,నేను తెలుసుకోవాలనుకోలేదు.
330,I'm sure my parents won't let me go by myself.,నా తల్లిదండ్రులు నన్ను స్వయంగా వెళ్లనివ్వరని నేను ఖచ్చితంగా అనుకుంటున్నాను.
331,I need you to go to the post office and mail this letter.,మీరు పోస్టాఫీసుకు వెళ్లి ఈ లేఖను మెయిల్ చేయాలి.
332,I don't wanna go back.,నేను తిరిగి వెళ్లాలనుకోవడం లేదు.
333,How many times do you go to the dentist in a year?,సంవత్సరంలో మీరు ఎన్నిసార్లు దంతవైద్యుడి వద్దకు వెళతారు?
334,I need help from someone.,నాకు ఒకరి సహాయం కావాలి.
335,"I think I'm right, but I'm not going to fight about it.","నేను సరిగ్గా ఉన్నానని అనుకుంటున్నాను, కాని నేను దాని గురించి పోరాడను."
336,I don't like this tie. Show me another one.,ఈ టై నాకు నచ్చలేదు.
337,I want to speak to a lawyer.,నేను ఒక న్యాయవాదితో మాట్లాడాలనుకుంటున్నాను.
338,They are not little children.,వారు చిన్న పిల్లలు కాదు.
339,How much milk do you want?,మీకు ఎంత పాలు కావాలి?
340,You have to stay in bed until next Monday.,వచ్చే సోమవారం వరకు మీరు మంచం మీదనే ఉండాలి.
341,I forgot their names.,నేను వారి పేర్లను మర్చిపోయాను.
342,I'll carry this.,నేను దీన్ని తీసుకువెళతాను.
343,"You're not a doctor, are you?","మీరు డాక్టర్ కాదు, అవునా?"
344,Where are you going with this?,దీనితో మీరు ఎక్కడికి వెళ్తున్నారు?
345,How long does it take you to go home from my house?,నా ఇంటి నుండి ఇంటికి వెళ్ళడానికి మీకు ఎంత సమయం పడుతుంది?
346,"I don't want to do what I'm planning to do, but I have no choice.","నేను చేయాలనుకుంటున్నది నేను చేయాలనుకోవడం లేదు, కానీ నాకు వేరే మార్గం లేదు."
347,I love Mexican food.,నాకు మెక్సికన్ ఆహారం అంటే చాలా ఇష్టం.
348,I need to borrow this broom.,నేను ఈ చీపురు రుణం తీసుకోవాలి.
349,He is afraid that he will die.,అతను చనిపోతాడని భయపడ్డాడు.
